unit_id,domain_id,indicator,weight
222300309,W06000001,NA,NA
222300310,W06000001,NA,NA
222300311,W06000001,1,802.8129251308527
222300312,W06000001,NA,NA
222300313,W06000001,0,1493.4711353430978
222300314,W06000001,0,836.2884301410837
222300315,W06000001,NA,NA
222300316,W06000001,NA,NA
222300317,W06000001,0,362.2769212093365
222300318,W06000001,NA,NA
222300319,W06000001,NA,NA
222300320,W06000001,NA,NA
222300321,W06000001,NA,NA
222300322,W06000001,NA,NA
222300323,W06000001,NA,NA
222300324,W06000001,1,635.5165178718219
222300325,W06000001,NA,NA
222300326,W06000001,NA,NA
222300327,W06000001,NA,NA
222300328,W06000001,NA,NA
222300329,W06000001,NA,NA
222300330,W06000001,NA,NA
222300331,W06000001,NA,NA
222300332,W06000001,NA,NA
222300333,W06000001,NA,NA
222300334,W06000001,NA,NA
222300335,W06000001,NA,NA
222300336,W06000001,NA,NA
222300337,W06000001,1,441.37444924112737
222300338,W06000001,NA,NA
222300339,W06000001,NA,NA
222300340,W06000001,NA,NA
222300341,W06000001,NA,NA
222300342,W06000001,NA,NA
222300343,W06000001,NA,NA
222300344,W06000001,NA,NA
222300345,W06000001,NA,NA
222300346,W06000001,NA,NA
222300347,W06000001,NA,NA
222300348,W06000001,NA,NA
222300349,W06000001,NA,NA
222300350,W06000001,NA,NA
222300351,W06000001,NA,NA
222300352,W06000001,NA,NA
222300353,W06000001,NA,NA
222300354,W06000001,NA,NA
222300355,W06000001,NA,NA
222300356,W06000001,NA,NA
222300357,W06000001,NA,NA
222300358,W06000001,NA,NA
222300359,W06000001,NA,NA
222300360,W06000001,NA,NA
222300361,W06000001,0,934.6753042753304
222300362,W06000001,0,538.4801586747554
222300363,W06000001,NA,NA
222300364,W06000001,NA,NA
222300365,W06000001,NA,NA
222300366,W06000001,NA,1279.0667265313466
222300367,W06000001,NA,NA
222300368,W06000001,NA,NA
222300369,W06000002,NA,NA
222300370,W06000002,0,467.3756807606794
222300371,W06000002,NA,NA
222300372,W06000002,NA,1814.15947825504
222300373,W06000002,1,937.5281948830944
222300374,W06000002,NA,NA
222300375,W06000002,1,780.9242668773985
222300376,W06000002,0,934.7513615213588
222300377,W06000002,NA,NA
222300378,W06000002,NA,NA
222300379,W06000002,NA,NA
222300380,W06000002,0,923.3661921768123
222300381,W06000002,NA,NA
222300382,W06000002,NA,NA
222300383,W06000002,NA,NA
222300384,W06000002,NA,NA
222300385,W06000002,NA,NA
222300386,W06000002,NA,NA
222300387,W06000002,NA,NA
222300388,W06000002,NA,NA
222300389,W06000002,0,1520.2848737593292
222300390,W06000002,NA,NA
222300391,W06000002,NA,NA
222300392,W06000002,NA,1132.911524537698
222300393,W06000002,NA,NA
222300394,W06000002,0,1520.2848737593292
222300395,W06000002,NA,NA
222300396,W06000002,NA,NA
222300397,W06000002,0,599.7766894611335
222300398,W06000002,0,2265.4197155713123
222300399,W06000002,0,638.1728647796609
222300400,W06000002,NA,NA
222300401,W06000002,NA,NA
222300402,W06000002,NA,NA
222300403,W06000002,NA,NA
222300404,W06000002,NA,NA
222300405,W06000002,NA,NA
222300406,W06000002,0,1837.468863240932
222300407,W06000002,NA,NA
222300408,W06000002,NA,NA
222300409,W06000002,NA,NA
222300410,W06000002,NA,NA
222300411,W06000002,NA,NA
222300412,W06000002,0,3020.5596207617577
222300413,W06000002,NA,NA
222300414,W06000002,NA,NA
222300415,W06000002,NA,NA
222300416,W06000002,NA,NA
222300417,W06000002,NA,NA
222300418,W06000002,NA,NA
222300419,W06000002,NA,NA
222300420,W06000002,NA,NA
222300421,W06000002,NA,NA
222300422,W06000002,NA,NA
222300423,W06000002,NA,NA
222300424,W06000002,NA,NA
222300425,W06000002,NA,NA
222300426,W06000002,NA,NA
222300427,W06000002,NA,NA
222300428,W06000002,NA,NA
222300429,W06000002,NA,NA
222300430,W06000002,0,1417.8935068428434
222300431,W06000002,NA,NA
222300432,W06000002,NA,NA
222300433,W06000002,NA,NA
222300434,W06000002,NA,NA
222300435,W06000002,NA,NA
222300436,W06000002,NA,NA
222300437,W06000002,NA,NA
222300438,W06000002,NA,NA
222300439,W06000002,NA,NA
222300440,W06000002,0,638.1728647796609
222300441,W06000002,NA,NA
222300442,W06000002,NA,NA
222300443,W06000002,NA,NA
222300444,W06000002,NA,NA
222300445,W06000002,NA,NA
222300446,W06000002,NA,NA
