domain_id,benchmark_commute_distance,direct_estimate,direct_ci_lower,direct_ci_upper,direct_ci_width,fh_estimate,fh_ci_lower,fh_ci_upper,fh_ci_width,spatial_fh_estimate,spatial_fh_ci_lower,spatial_fh_ci_upper,spatial_fh_ci_width
W02000025,11.320391165811417,6.692875189391497,3.2735015640146052,10.112248814768389,6.838747250753784,7.328969445694107,4.852737938969884,9.947878983444006,5.095141044474122,7.350642353576733,4.389942986288993,9.995711562868024,5.605768576579031
W02000026,12.966249474143503,11.202532424511459,6.902219852888404,15.502844996134513,8.60062514324611,10.590880488302894,7.185402284502634,13.983204053264773,6.797801768762139,10.4039358684014,7.161503524567502,13.670346351241452,6.50884282667395
W02000027,6.571576965616046,15.016521382029643,1.7214903919807814,28.311552372078502,26.590061980097722,9.355204433306122,3.443100334798066,14.622249633737148,11.179149298939082,9.897208796213171,3.860189208579671,16.369870015342276,12.509680806762605
W02000028,7.089796765633965,29.178464910113735,8.386717715847105,49.970212104380366,41.58349438853326,10.163878392356278,5.095516628155,15.50194423009015,10.40642760193515,10.936068716772567,5.095223760075202,16.788946400900784,11.693722640825582
W02000029,8.068460398831489,7.217629120247801,2.6551195030359933,11.780138737459609,9.125019234423615,7.9944266886339035,4.363467886893853,11.469037375857994,7.105569488964141,8.607449605944073,5.292313509534105,11.931854215774091,6.639540706239987
W02000030,7.829738309701492,6.984499803220501,2.499744080361367,11.469255526079635,8.969511445718268,7.4989375068418624,3.7641576406095556,10.61407694009804,6.849919299488484,7.629314472076717,4.019123005948776,10.827835449102153,6.808712443153377
W02000031,8.30423576039783,24.38940641574401,10.64482780095122,38.1339850305368,27.48915722958558,11.941736381153621,5.970992686173146,16.91868648922464,10.947693803051495,12.299134969756231,6.9186988214272525,18.112118740540602,11.19341991911335
W02000032,9.064114935961713,14.43511971670385,2.5429390597311894,26.32730037367651,23.784361313945322,9.710490697334594,4.236100102849255,14.375167355443763,10.139067252594508,10.572182063554424,5.961101840688914,15.819728652298078,9.858626811609163
W02000033,7.259427844019397,7.2556883582192935,2.641516259821344,11.869860456617243,9.228344196795899,7.729424915249777,4.404065266342531,10.83633852974183,6.432273263399299,7.843264831080014,4.1579563221277365,11.49710686207606,7.339150539948324
W02000034,8.890724982589504,12.948011355602983,10.858798851652931,15.037223859553034,4.178425007900103,12.347839300294039,10.328872277061224,14.54456789419314,4.2156956171319155,12.387582328193302,10.545014902817421,14.275093698971414,3.730078796153993
W02000035,9.409146735367893,8.953871613655707,4.957243281736915,12.9504999455745,7.993256663837585,9.019226541594724,5.995916379234468,11.97172183512566,5.975805455891192,9.02005600874334,5.940106134500853,12.327719508264336,6.387613373763482
W02000036,9.476017146302816,8.211853345662737,3.7266557945835155,12.69705089674196,8.970395102158445,8.549405905977588,5.308543378396189,11.933769078174503,6.625225699778314,8.845358571394645,5.340836471162043,12.898127464323514,7.5572909931614705
W02000037,7.945232117395223,16.109853306928628,5.325433808881364,26.89427280497589,21.568838996094527,10.920709249749853,6.372172511128001,15.648308277316982,9.27613576618898,10.424671292257385,5.935753927283697,15.471031693866646,9.535277766582949
W02000038,10.217511180683312,8.79423809887986,4.193454166883634,13.395022030876088,9.201567863992455,8.78343887458733,5.1284366464852535,12.871113308474998,7.742676661989744,8.812488490351573,5.1923654129767,11.873275806938166,6.680910393961466
W02000039,10.191576779214065,13.613061623023965,0.35208121790617497,26.874042028141755,26.52196081023558,9.993577518011248,4.392531441892579,16.15383496354208,11.761303521649502,9.20044251172351,4.602575468970073,14.134267875487062,9.531692406516989
W02000040,12.073881327586205,12.076654962910844,-2.2061095811123543,26.359419506934042,28.565529088046397,10.149340166435508,4.7750639570379025,15.788305593391193,11.01324163635329,9.582924251817234,5.057790629947052,13.80745777373955,8.749667143792498
W02000041,10.646747444519928,19.185861659709783,7.957544301006488,30.41417901841308,22.456634717406594,11.28476030677998,5.624161665103379,16.30380816402432,10.679646498920942,10.523914404053698,6.427913471934154,15.483295370705116,9.055381898770962
W02000042,8.980777313924051,14.069329715752758,4.659114371554686,23.47954505995083,18.820430688396144,10.449224683502845,5.798298859388613,15.72044512664426,9.922146267255647,10.369613454504984,5.640964278541029,14.941496389040026,9.300532110498997
W02000043,9.176246574193549,4.209131366908058,3.5869634407470654,4.83129929306905,1.244335852321985,4.2646545901254775,3.679454695907271,4.943347545347018,1.2638928494397472,4.239683724373279,3.612555439072782,4.871903433635033,1.2593479945622512
W02000044,8.666001985733246,22.87618511448816,8.382879381660862,37.369490847315454,28.98661146565459,11.121399122635239,6.088956746529711,15.861696278866352,9.77273953233664,10.18950815638933,5.968647476680944,15.034997210517568,9.066349733836624
W02000045,7.500795801166966,9.721000886158324,4.441075903663427,15.00092586865322,10.559849964989791,9.202804474892979,5.550205982711519,12.83910700392686,7.288901021215342,9.3296205782908,5.12121164739671,13.28556087968799,8.16434923229128
W02000047,6.7869127054263565,1,1,1,0,8.723628629660922,3.4822738217156157,14.690323518642789,11.208049696927173,9.221483190128172,3.1254935878805927,15.839639895542561,12.714146307661968
W02000049,9.39996053654575,6.084269196346947,-0.15856251555113143,12.327100908245026,12.485663423796158,7.897028008047385,3.881526343995313,11.867966840216166,7.986440496220853,7.668414190123956,3.771521345034307,11.48414686168598,7.7126255166516735
